Data;Godzina;RCE
20230127;5;655.05
20230127;6;672.53
20230127;7;730.77
20230127;8;814.22
20230127;9;847.09
20230127;10;847.98
20230127;11;847.99
20230127;12;846.48
20230127;13;845.14
20230127;14;846.03
20230127;15;840.68
20230127;16;845.06
20230127;17;847.49
20230127;18;852.66
20230127;19;852.6
20230127;20;846.71
20230127;21;791.33
20230127;22;742.07
20230127;23;737.59
20230127;24;698.53
20230128;1;675.86
20230128;2;648.97
20230128;3;637.39
20230128;4;628.45
20230128;5;630.94
20230128;6;624.55
20230128;7;643.27
20230128;8;712.8
20230128;9;754.99
20230128;10;806.29
20230128;11;823.36
20230128;12;808.33
20230128;13;807.38
20230128;14;814.92
20230128;15;758.45
20230128;16;759.21
20230128;17;789.64
20230128;18;826.79
20230128;19;813.98
20230128;20;771.08
20230128;21;721.44
20230128;22;659.25
20230128;23;621.15
20230128;24;553.09
20230129;1;515.93
20230129;2;517.22
20230129;3;527.9
20230129;4;504.09
20230129;5;518.48
20230129;6;519.57
20230129;7;527.22
20230129;8;518.77
20230129;9;532.63
20230129;10;543.01
20230129;11;547.83
20230129;12;545.43
20230129;13;522.68
20230129;14;512.23
20230129;15;514.24
20230129;16;511.54
20230129;17;520.01
20230129;18;524.9
20230129;19;524.02
20230129;20;516.73
20230129;21;504.78
20230129;22;500.21
20230129;23;427.29
20230129;24;369.82
20230130;1;292.74
20230130;2;236.62
20230130;3;209.24
20230130;4;196.42
20230130;5;246.27
20230130;6;352.36
20230130;7;500.06
20230130;8;514.23
20230130;9;527.04
20230130;10;550.31
20230130;11;553.13
20230130;12;559
20230130;13;566.17
20230130;14;563.25
20230130;15;555.21
20230130;16;545.41
20230130;17;551.83
20230130;18;566.74
20230130;19;563.03
20230130;20;557.43
20230130;21;529.13
20230130;22;511.23
20230130;23;492.84
20230130;24;394.39
20230131;1;425.6
20230131;2;431.35
20230131;3;431.27
20230131;4;431.19
20230131;5;441.67
20230131;6;489.41
20230131;7;508.96
20230131;8;522.61
20230131;9;545.11
20230131;10;562.26
20230131;11;544.27
20230131;12;543.47
20230131;13;543.17
20230131;14;552.93
20230131;15;584.92
20230131;16;598.97
20230131;17;607.72
20230131;18;585.11
20230131;19;554.59
20230131;20;536.76
20230131;21;518.38
20230131;22;505.32
20230131;23;497.16
20230131;24;428.25
20230201;1;416.06
20230201;2;343.26
20230201;3;342.75
20230201;4;345.35
20230201;5;386.64
20230201;6;445.82
20230201;7;519.07
20230201;8;518.71
20230201;9;519.08
20230201;10;524.6
20230201;11;524.51
20230201;12;530.76
20230201;13;530.74
20230201;14;523.25
20230201;15;523.28
20230201;16;523.33
20230201;17;529
20230201;18;532.08
20230201;19;530.64
